Feature ID,m/z,Retention Time,Score_Description,Name_or_Class,SMILES,Formula,FluoroMatch DTXSID,Likely PFAS?,Mass Defect in PFAS Space?,2+_homologous_series,3+_homologous_series,Number_of_F_Fragments,FINAL DTXSID,FINAL DTXSID NOTES,CONFIRM PFAS?,Reviewed?
351,194.9888,4.48,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C4H2F6O2,DTXSID10327679,TRUE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
397,198.9498,2.72,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluoroethanesulfonic acid,9,C2HF5O3S,DTXSID30870511,TRUE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
427,200.9789,5.11,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass OR 1+ common PFAS fragment (F containing), and exact mass). Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","2-Amino-5-fluoro-5-(trifluoromethyl)-1,3-thiazol-4(5H)-one",NC1=NC(=O)C(F)(S1)C(F)(F)F,C4H2F4N2OS,DTXSID00336710,TRUE,TRUE,FALSE,FALSE,3,,In-source fragment of feature 1736.,,Yes
440,201.9906,4.85,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","1,1,2,2,2-Pentafluoro-N-(trifluoromethyl)ethan-1-amine",FC(F)(F)NC(F)(F)C(F)(F)F,C3HF8N,DTXSID40534793,TRUE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
484,207.012,3.31,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",PFCA-H,O=C([OH])COCC(F)(F)C(F)(F)F,C5H5F5O3,,FALSE,TRUE,TRUE,FALSE,2,,SO3 fragment observed but no additional fluorinated fragments appear. High quality spectral library hit for non-fluorinated sulfonic acid species. ,,Yes
535,212.9791,3.11,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFCA-perfluoroalkyl,OC(=O)C(F)(F)C(F)(F)C(F)(F)F,C4HF7O2,,TRUE,TRUE,TRUE,TRUE,4,DTXSID4059916,"Compared to reference spectra on AMOS, user agreed match",YES,Yes
568,215.0293,4.1,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C6H5F5N2O,DTXSID40575747,FALSE,TRUE,FALSE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
569,215.0707,3.14,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass OR 1+ common PFAS fragment (F containing), and exact mass). Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C8H12F4O2,DTXSID10932267,TRUE,TRUE,FALSE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
585,216.9895,5.57,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C4H2F8O,DTXSID00569349,TRUE,TRUE,TRUE,TRUE,4,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
599,218.9859,4.33,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","4,4,5,5,6,6-Hexafluorohex-2-ynoic acid",OC(=O)C#CC(F)(F)C(F)(F)C(F)F,C6H2F6O2,DTXSID00546236,TRUE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
637,223.0201,2.68,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","2-[(3,3,4,4,4-Pentafluorobutyl)sulfanyl]ethan-1-ol",OCCSCCC(F)(F)C(F)(F)F,C6H9F5OS,DTXSID10551316,FALSE,TRUE,TRUE,TRUE,3,,"XIC is messy, no MS2 in Mzmine",,Yes
647,223.0464,3.16,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C8H8F4N2O,DTXSID70606119,TRUE,TRUE,TRUE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
673,224.9858,1.2,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",OPFC-perfluoroalkyl_sulfate,O=S([OH])(=O)OCC(F)(F)CC(F)(F),C4H6F4O4S,,FALSE,TRUE,TRUE,TRUE,0,,"XIC is messy, no MS2 in Mzmine",,Yes
675,224.9987,3.41,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","3,3-Bis(trifluoromethyl)-3-hydroxypropionic acid",OC(=O)CC(O)(C(F)(F)F)C(F)(F)F,C5H4F6O3,DTXSID20165701,TRUE,TRUE,TRUE,TRUE,3,DTXSID70729231,"No AMOS spectra for comparison. Fragment at 181.1227 appears to be loss of CO2. Fragment at 162.9996 corresponds to C4HF6. Fragment at 130.9922 corresponds to C3F5. Fragment at 111.0060 corresponds to C3H2F3O. Fragment at 68.9955 corresponds to CF3. Fluorinated fragments observed generally support polyfluorinated specices with a terminal CF3 and likely ether. Assigning DTXSID for compound, though would benefit from additional review to ensure not an in-source fragment.",YES,Yes
715,226.9947,3.42,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",FT-PFCA,OC(=O)CC(F)(F)C(F)(F)C(F)(F)F,C5H3F7O2,DTXSID50617268,TRUE,TRUE,TRUE,TRUE,5,DTXSID50617268,No AMOS spectrra for comparison. Fragment at 142.9924 corresponds to C4F5 (loss of CO2 + 2HF). Fragment at 92.9958 corresponds to C3F3 (loss of an additional CF2).,YES,Yes
716,227.0048,10.52,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass OR 1+ common PFAS fragment (F containing), and exact mass). Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","2,2,3,3,4,4,4-heptafluorobutanehydrazide",NNC(=O)C(F)(F)C(F)(F)C(F)(F)F,C4H3F7N2O,DTXSID30289321,TRUE,TRUE,FALSE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
722,227.0743,4.81,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C9H12F4O2,DTXSID70162649,FALSE,TRUE,FALSE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
745,228.9739,3.64,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluoro-3-methoxypropanoic acid,OC(=O)C(F)(F)C(F)(F)OC(F)(F)F,C4HF7O3,DTXSID70191136,TRUE,TRUE,TRUE,TRUE,2,DTXSID70191136,Compared to AMOS spectra. User agreed match.,YES,Yes
765,230.9554,3.67,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",PFSA-H,O=S([OH])(=O)C(F)(F)C(F)C(F)(F)F,C3H2F6O3S,DTXSID70430799,TRUE,TRUE,TRUE,TRUE,2,DTXSID70430799,No AMOS spectra for comparison. Fragment at 79.9573 corresponds to SO3. Fragment at 82.9605 corresponds to SO2F. Fragment at 98.9556 corresponds to SO3F. Fragment at 130.9925 corresponds to C3F5. Fragment at 146.9874 corresponds to C3F5O. ,YES,Yes
782,232.9415,1.07,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C2HF6O4P,,FALSE,TRUE,FALSE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
804,234.9801,4.49,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluorobutanol,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O,DTXSID5073292,TRUE,TRUE,TRUE,TRUE,1,,In-source fragment (loss of CO2) of fluoroethers shown by XIC,,Yes
805,234.9807,5.54,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluorobutanol,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O,DTXSID5073292,TRUE,TRUE,TRUE,TRUE,2,,In-source fragment (loss of CO2) of fluoroethers shown by XIC,,Yes
806,234.9808,6.53,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",Perfluorobutanol,OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,C4HF9O,DTXSID5073292,TRUE,TRUE,TRUE,TRUE,4,,In-source fragment (loss of CO2) of fluoroethers shown by XIC,,Yes
827,236.9789,4.59,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",PFCA-unsaturated,O=C([OH])C(F)(F)C(/F)=C(\F)C(/F)=C(\F)F,C6HF7O2,,FALSE,TRUE,TRUE,TRUE,2,,"No chemicals in CompTox with this formula and no AMOS spectra for comparison. Fragment at 170.9871 corresponds to loss of CF2O to give C5F5O. Fragment at 142.9922 corresponds to additional CF2O loss to give C4F5. Fragment at 108.9903 corresponds to C3F3O. Fragment at 92.9929 corresponds to C3F3. Fragment at 59.0134 corresponds to acetate (C2H3O2), which is not in line with structure. Fragments suggest ether instead of carboxylic acid suggested by FM. Highly isomeric XIC. Could be in-source fragment, cyclic, or linear ether with DBs. ",YES,Yes
828,236.9953,5.58,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C6H4F6O3,,TRUE,TRUE,TRUE,FALSE,3,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
845,238.0152,4.85,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass OR 1+ common PFAS fragment (F containing), and exact mass). Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",N-Vinylperfluorobutanamide,CC=NC(=O)C(F)(F)C(F)(F)C(F)(F)F,C6H4F7NO,DTXSID70292455,TRUE,TRUE,FALSE,FALSE,4,,"Fluorinated fragments (CF3 at 68.9957, SO2F at 82.9609, CF3SO2 at 132.9572, loss of CF2 at 188.0184) observed in addition to SO2 at 63.9625. Fragments suggest fluorinated structure with SO2 but do not support chemical formula given by FM. Suspect this is some kind of in-source fragment",YES,Yes
848,238.9945,3.99,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","4,4,5,5,6,6,6-Heptafluorohex-2-enoic acid",OC(=O)C=CC(F)(F)C(F)(F)C(F)(F)F,C6H3F7O2,DTXSID30895360,TRUE,TRUE,TRUE,TRUE,4,DTXSID30895360,Reference spectra for compound in AMOS shows some identical peaks but others present in experimental are not present in reference. Tentatively assinging DTXSID but would benefit from additional review. ,YES,Yes
887,240.9736,3.88,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",PFCA-unsaturated_ether,O=C([OH])C(F)(F)OC(/F)=C(\F)C(F)(F)F,C5HF7O3,DTXSID10544086,TRUE,TRUE,TRUE,TRUE,7,DTXSID101035053,No AMOS spectra for comparison. Fragment at 197.1544 is from loss of CO2. Fragment at 174.9820 is from loss of CF2O. Fragment at 130.9921 corresponds to C3F5. Fragment at 96.9904 corresponds to C2F3O. Fragment at 62.9886 corresponds to CFO2.,YES,Yes
888,241.0102,3.86,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",3:3 Fluorotelomer carboxylic acid,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)F,C6H5F7O2,DTXSID00379268,TRUE,TRUE,TRUE,TRUE,10,DTXSID00379268,"Compared to reference spectra on AMOS, user agreed match",YES,Yes
889,241.0105,3.2,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","4,4-bis(Trifluoromethyl)-4-fluoropropanoic acid",OC(=O)CCC(F)(C(F)(F)F)C(F)(F)F,C6H5F7O2,DTXSID00379268,TRUE,TRUE,TRUE,TRUE,5,,"Duplicate feature of 888. Is from earlier peak, maybe isomeric?",,Yes
890,241.0113,4.8,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C6H5F7O2,DTXSID00379268,FALSE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
932,242.986,5.14,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C8H5ClF4O2,DTXSID80530259,FALSE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
933,242.9893,2.56,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",(Heptafluoropropoxy)acetic acid,OC(=O)COC(F)(F)C(F)(F)C(F)(F)F,C5H3F7O3,DTXSID20817374,TRUE,TRUE,TRUE,TRUE,5,DTXSID90844612,No AMOS spectra for comparison. Fragment at 199.0007 corresponds to CO2 loss. Fragment at 178.9934 corresponds to C4HF6O. Fragment at 130.9916 corresponds to C3F5. Fragment at 92.9958 corresponds to C3F3. Fragment at 68.9960 corresponds to CF3. Fragmentation supports chemical formula. Exact structure may be isomeric to DTXSID assigned. ,YES,Yes
956,244.9853,3.94,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",5H-Octafluoropentanoic acid,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)F,C5H2F8O2,DTXSID00846723,FALSE,TRUE,TRUE,TRUE,2,,"Fragment at 201.0918 corresponds to CO2 loss. Fragment at 180.9888 corresponds to C4F7. Fragment at 79.9568 corresponds to SO3. XIC is highly isomeric. Definitely PFAS, but need additional opinion to assign identity.",YES,Yes
972,246.9809,4.84,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","1H,1H,5H-Perfluoropentane-1-thiol",FC(F)C(F)(F)C(F)(F)C(F)(F)CS,C5H4F8S,DTXSID90590980,FALSE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
986,247.9619,4.83,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFSM-perfluoroalkyl_sulfonamide,NS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)F,C3H2F7NO2S,,TRUE,TRUE,TRUE,TRUE,2,DTXSID801022823,No AMOS spectra for comparison. Fragment at 77.9655 corresponds to NO2S. Fragment at 169.9888 corresponds to C3F7.,YES,Yes
997,248.9459,4.23,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFSA-perfluoroalkyl,O=S([OH])(=O)C(F)(F)C(F)(F)C(F)(F)(F),C3HF7O3S,,TRUE,TRUE,TRUE,TRUE,9,DTXSID30870531,"Compared to reference spectra on AMOS, user agreed match",YES,Yes
1001,249.0593,4.71,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","4,4,5,5-Tetrafluoro-3-hydroxy-1-phenylpentan-1-one",OC(CC(=O)C1=CC=CC=C1)C(F)(F)C(F)F,C11H10F4O2,DTXSID70542669,TRUE,TRUE,TRUE,FALSE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
1047,252.0465,3.68,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS fragments from standards and exact mass OR 1+ common PFAS fragment (F containing), and exact mass). Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","Propionamide, N-benzyl-2,2,3,3,3-pentafluoro-",FC(F)(F)C(F)(F)C(=O)NCC1=CC=CC=C1,C10H8F5NO,DTXSID70170880,TRUE,TRUE,FALSE,FALSE,1,,"No reference spectra in AMOS. Fragment at 68.9955 corresponds to CF3. Fragment at 79.9583 corresponds to SO3. Fragments at 165.0143 and 145.0066 seperated by 20.008 which corresponds to HF loss, peaks for additional HF loss are also present. Fragments do not match proposed structure. Some PFAS characteristics, but PFAS precursor mass list matches don't match fragments. APPEARS ONLY IN ODS SOURCE. ",YES,Yes
1061,253.0748,10.97,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C7H12F6N2O,DTXSID00949607,FALSE,TRUE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
1082,254.9859,5.53,"Lvl 3 Schymanski: Tentative ID, highly likely PFAS (1+ PFAS common fragment (F containing) and exact mass) and 2+ in homologous series. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra","4,4,5,5,6,6,6-Heptafluoro-3-oxohexanoic acid",OC(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,C6H3F7O3,DTXSID50837828,TRUE,TRUE,TRUE,FALSE,4,,"Some fluorinated fragments at 68.9952 (CF3), 92.9944 (C3F3) and loss of CF2 at 204.9884. Potentially CO2 loss at 211.1695. Suspect that this is some kind of in-source fragment, need to review with additional info. ",YES,Yes
1094,255.1056,5.8,"Lvl 3 Schymanski: Tentative ID, possible PFAS (1+ PFAS fragment (F containing) and exact mass). Note the fragment(s) observed may have other fragment formula assignments not containing F. Can be assigned a Lvl 2 after manual review of fragment evidence provided, homologous series evidence provided, EIC, and spectra",,,C11H16F4O2,DTXSID70932268,FALSE,FALSE,TRUE,TRUE,1,,"FluoroMatch calls as level 3, minimal supporting information given. Downgrade to level 4.",,No
1121,256.9856,4.34,Lvl 2 Schymanski: Confident ID (class specific dominant fragments observed along with exact mass) and 2+ in homologous series,PFCA-perfluoroalkyl_Hsubstituted_1DB,OC(=O)\C=C(/F)C(F)(F)C(F)(F)C(F)(F)F,C6H2F8O2,,TRUE,TRUE,TRUE,TRUE,6,DTXSID801346350,No AMOS spectra for comparison. In homologous series with feature that has reference spectra. Comparison of these spectra shows similarity. Assignging DTXSID of feature in homologous series as e isomer. ,YES,Yes
